category,quote,quote_speaker
خرد و حکمت,راه در جهان یکی است و آن راه راستی است,زرتشت
خرد و حکمت,"آنچه که تو می‌کنی، بازتابی از آن چیزی است که به دیگران می‌دهی.",زرتشت
خرد و حکمت,"انسان باید به راه راست و نیکو پایبند باشد، چرا که تنها در این راه است که به حقیقت دست می‌یابد.",زرتشت
خرد و حکمت,خود را بشناس و به خود ایمان داشته باش.,زرتشت
خرد و حکمت,"نیروی انسانی از تفکر، گفتار و رفتار درست به دست می‌آید.",زرتشت
خرد و حکمت,"در دل هر انسان نیکی وجود دارد، باید آن را برانگیخت و پرورش داد.",زرتشت
خرد و حکمت,خویشتن را از دروغ و نیرنگ دور نگه دار.,زرتشت
خرد و حکمت,"همواره در جستجوی حقیقت باش، چرا که تنها حقیقت است که تو را رها خواهد کرد.",زرتشت
خرد و حکمت,"خوشبختی انسان در تفکر نیک، گفتار نیک و کردار نیک است.",زرتشت
خرد و حکمت,راه در جهان یکی است و آن راه راستی است.,زرتشت
خرد و حکمت,هر روز باید در مسیر رشد و تعالی گام برداری.,زرتشت
خرد و حکمت,"پندار نیک، گفتار نیک، کردار نیک",زرتشت
آرزو," نرسيدن به آرزوها دردناك است، ولي رسيدن به آرزوها هم مي تواند به همان اندازه دردناك باشد؛ زيرا همه چيز گذرا است.",بيل هريس
آرزو," هنگامي كه اراده مي كنيد به آرزو و يا هدفي برسيد، هرگز اجازه ندهيد هيچ كس يا هيچ چيزي شما را بازدارد.",اریک تیلر
آرزو," هر آرزو و هدفي كه داشته باشيد، ممكن است از راههايي كه فراتر از مرز انگاره ي شما است به حقيقت تبديل شوند.",دايانا رابينسون
آرزو," آرزومندي، بزرگترين امتياز در اين جهان است. آرزومندي، سبب كسب پول، قدرت و نفوذ ميشود.",هنری چستر
آرزو," خوشبخت، كسي است كه آرزوهاي بسيار دارد و آرزومند است كه براي برآوردن آنها گام هايي بردارد.",زیگ زیگلار
آرزو," انسان آرزومند جهاني است كه در آن خير و شر آشكارا تشخيص دادني باشند، زيرا در او تمايل ذاتي و سركش داوري كردن پيش از فهميدن، وجود دارد.",میلان کوندرا
آرزو," چه شكوهي دارد اين جهان، در چشم كسي كه با دلي آرزومند در زير آسمان پر جبروت و درخشان به پيش مي رود.",هنري لانگ فلو
آرزو," من آنچه را كه آرزو نمي كنم، آرزو مي كنم و از آن چيزي دوري مي گزينم كه ندارم. من نه مي توانم هيچ باشم و نه همه چيز؛ من پل گذر ميان آني كه ندارم و آني كه نمي خواهم، هستم.",فرناندو پسوا
آرزو, آرزوهاي هر كس نتيجه ي تجربه هاي زندگي او است.,اريك نيوتن
آرزو, آرزوها زاده ي تصادف نيستند؛ آنها از راه عادت در انسان تكوين مي يابند.,اريك نيوتن
آرزو," وقتي كه انسان با تمام وجود چيزي را آرزو مي كند، به روح جهان نزديكتر است و روح جهان، نيرويي همواره مثبت است.",پائولو كوئيل
آرزو," اگر تو قلبت را خوب بشناسي، هيچ وقت تو را غافلگير نخواهد كرد؛ چون تو آرزوها و روياهايش را خواهي شناخت و مي تواني آنها را به حساب آوري.",پائولو كوئيل
آرزو," خواسته ها، آرزوهاي ما هستند و نيازها، ضرورتهاي ما؛ نيازها براي دستيابي به كاميابي و كامروايي، ضروري هستند.",اسپنسر جانسون
آرزو," آرزوهاي واپسين دم زندگي، خانه بزرگتر و ثروت بيشتر نيست، بلكه دوست داشتن ديگران، رسيدگي به خود و بهبود روابط با ديگران است.",کن بلانچارد
آرزو," هر آرزويي بدون پژوهش و تلاش، سترون (عقيم) باقي مي ماند.",ارد بزرگ
آرزو," آرزوي يك خوشبختي بزرگتر، پيوسته ما را از لذت خوشبختي اي كه از آن بهره مند هستيم باز مي دارد.",ژان دوال
آرزو," وقتي دوست مي داري، دلت مي خواهد زنده باشي و وقتي كينه مي ورزي، آرزوي مرگ مي كني.",کنفسیوس
آرزو," هدف و آرزوي ما بايد به كار انداختن زندگي باشد، نه لذت بردن از زندگي.",مکدف
آرزو," آرزو دارم كه تا آخرين لحظه، وجودم ثمره بخش باشد و هنگامي بميرم كه هيچ كاري از من برنيايد.",جرج برنارد شاو
آرزو," آرزو ريشه حيات ماست. اگرچه اين ريشه بتدريج حيات ما را مي سوزاند، اما همين ريشه مايه زندگي است.",نیچه
آرزو, مرگ آرزويي جز اين ندارد كه به وعده‏اي كه در صبح زندگي داده است وفا كند. به بيان جدّي‏تر شيريني و گرمي لبخند مرگ كمتر از لبخند زندگي نيست.,ژرژ برنانوس
اراده و پشتکار," فقط دانستن كافي نيست، بايد به كار گرفت، فقط خواستن كافي نيست، بايد انجام داد.",بروس لي
اراده و پشتکار," راه ما چمن نرم نيست؛ مسير كوهي است پر از تخته سنگ، كه به بالا مي رود، به جلو، به سمت خورشيد.",راث وست هايمر
اراده و پشتکار," آدم ها تهي از توانايي نيستند، تهي از اراده اند.",ويكتور هوگو
اراده و پشتکار," اگر اراده كنيد و پايداري داشته باشيد، بي شك موفق خواهيد شد.",رالف والدو امرسون
اراده و پشتکار," اگر ما به قدر كافي اراده داشته باشيم، به قدر كافي هم ابزار پيدا خواهيم كرد.",ميلتون
اراده و پشتکار," به هر كاري كه اراده كنيم تواناييم، اگر آن گونه كه سزاوار است پيگير باشيم.",هلن كلر
اراده و پشتکار," هركس قادر به تملك و اراده نفس خود باشد، آزادي حقيقي را به دست آورده است.",پرسليس
اراده و پشتکار," اراده يك احساس نيست، بلكه شامل احساس هاي گوناگون است و نمي توان آن را از انديشه جدا كرد. در عين حال، اراده يك شور است و كسي كه اراده مي كند، به اشتباه اراده را با عمل يكسان مي شمرد.",نيچه
اراده و پشتکار, خشم و غضب را به درگاه مردان با اراده راهي نيست.,سقراط
